epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9962,1.03426,3.63274,1.75441,0.25,0.09091,0.17897,0.09056,1.34198,3.68631,2.92202,0.000471882,0.000471882,0.000471882
2,186.371,1.02943,3.15673,1.8409,0.50345,0.59319,0.50827,0.28817,1.34016,3.57631,2.53409,0.000854342,0.000854342,0.000854342
3,308.916,1.01907,2.98485,1.80882,0.67418,0.56242,0.62057,0.40233,1.24786,3.21549,2.17072,0.00114249,0.00114249,0.00114249
4,425.86,1.04358,2.75039,1.86491,0.5353,0.52525,0.58036,0.41671,1.30025,3.09219,2.14601,0.00100459,0.00100459,0.00100459
5,512.07,0.97758,2.60894,1.77482,0.76943,0.68643,0.76504,0.47817,1.40229,2.46327,2.26095,0.000863116,0.000863116,0.000863116
6,595.269,0.9518,2.43075,1.73702,0.69521,0.80808,0.8143,0.52602,1.28114,2.48159,2.11305,0.000721645,0.000721645,0.000721645
7,724.711,0.89033,2.34886,1.66145,0.76613,0.75218,0.80548,0.56846,1.10272,2.21336,1.98894,0.000580174,0.000580174,0.000580174
8,823.458,0.85231,2.28712,1.60777,0.68161,0.87426,0.82271,0.60006,1.11206,2.25638,1.93789,0.000438703,0.000438703,0.000438703
9,930.987,0.83521,2.20314,1.56262,0.72143,0.86364,0.87129,0.64375,0.98788,2.12097,1.79042,0.000297232,0.000297232,0.000297232
10,1054.64,0.76968,2.07968,1.51453,0.77636,0.76263,0.83646,0.6175,1.00416,2.00319,1.76562,0.000155761,0.000155761,0.000155761
